Decile_rank,sum,count,cumsum,cumcount,response_rate,lift
9,48,2533,48,2533,0.0189498618239242,2.239227451101679
8,33,2596,81,5129,0.015792552154416065,1.866141116790492
7,27,2555,108,7684,0.014055179593961478,1.6608429269509688
6,34,2561,142,10245,0.01386041971693509,1.6378289510675097
5,18,2575,160,12820,0.0124804992199688,1.4747694055227647
4,11,2447,171,15267,0.011200628807231282,1.3235323680876707
3,14,2602,185,17869,0.01035312552465163,1.2233863811203554
2,16,2644,201,20513,0.00979866426168771,1.1578679677336234
1,7,2523,208,23036,0.009029345372460496,1.0669607098646638
0,9,2606,217,25642,0.008462678418220107,1.0
