donorID,province,region,birth_year,gender,language,Flanders,Wallonia,Antwerp,Brussels,East Flanders,Flemish Brabant,Hainaut,Liege,Limburg,Luxembourg,Namur,Walloon Brabant,West Flanders
100001,Flemish Brabant,Flanders,1967,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100002,Antwerp,Flanders,1952,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100003,Flemish Brabant,Flanders,1986,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100004,Brussels,Brussels,1952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100005,Brussels,Brussels,1986,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100006,Brussels,Brussels,1926,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100007,Brussels,Brussels,1956,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100008,Flemish Brabant,Flanders,1937,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
100009,Brussels,Brussels,1932,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100010,Brussels,Brussels,1983,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100011,Brussels,Brussels,1963,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100012,Brussels,Brussels,1977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100013,Brussels,Brussels,1974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100014,Antwerp,Flanders,1986,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100015,Brussels,Brussels,1962,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100016,Brussels,Brussels,1979,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100017,Brussels,Brussels,1957,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100018,Brussels,Brussels,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100019,Brussels,Brussels,1971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100020,Brussels,Brussels,1958,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100021,Brussels,Brussels,1973,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100022,Brussels,Brussels,1954,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100023,Brussels,Brussels,1955,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100024,Brussels,Brussels,1994,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100025,Flemish Brabant,Flanders,1964,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100026,Antwerp,Flanders,1983,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100027,Brussels,Brussels,1973,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100028,Brussels,Brussels,1972,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100029,Flemish Brabant,Flanders,1973,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100030,Brussels,Brussels,1934,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100031,Brussels,Brussels,1965,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100032,Brussels,Brussels,1975,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100033,Brussels,Brussels,1994,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100034,Brussels,Brussels,1959,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100035,Flemish Brabant,Flanders,1937,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
100036,Brussels,Brussels,1961,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100037,Brussels,Brussels,1988,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100038,Brussels,Brussels,1973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100039,Brussels,Brussels,1952,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100040,Brussels,Brussels,1968,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100041,Brussels,Brussels,1982,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100042,Brussels,Brussels,1954,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100043,Brussels,Brussels,1990,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100044,Brussels,Brussels,1987,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100045,Brussels,Brussels,1932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100046,Brussels,Brussels,1987,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100047,Brussels,Brussels,1975,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100048,Brussels,Brussels,1976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100049,Brussels,Brussels,1954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100050,Walloon Brabant,Wallonia,1956,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100051,Brussels,Brussels,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100052,Brussels,Brussels,1964,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100053,Brussels,Brussels,1994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100054,Brussels,Brussels,1986,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100055,Brussels,Brussels,1966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100056,Brussels,Brussels,1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100057,Brussels,Brussels,1986,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100058,Brussels,Brussels,1969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100059,Brussels,Brussels,1933,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100060,Brussels,Brussels,1949,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100061,Brussels,Brussels,1954,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100062,Brussels,Brussels,1938,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100063,Brussels,Brussels,1968,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100064,Brussels,Brussels,1978,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100065,Brussels,Brussels,1976,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100066,Brussels,Brussels,1959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100067,Brussels,Brussels,1969,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100068,Brussels,Brussels,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100069,Brussels,Brussels,1962,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100070,Brussels,Brussels,1954,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100071,Brussels,Brussels,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100072,Brussels,Brussels,1979,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100073,West Flanders,Flanders,1986,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
100074,Brussels,Brussels,1969,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100075,Brussels,Brussels,1956,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100076,Brussels,Brussels,1985,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100077,Brussels,Brussels,1974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100078,Brussels,Brussels,1977,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100079,Antwerp,Flanders,1969,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100080,Brussels,Brussels,1957,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100081,Brussels,Brussels,1931,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100082,East Flanders,Flanders,1963,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
100083,Brussels,Brussels,1971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100084,Flemish Brabant,Flanders,1950,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100085,Brussels,Brussels,1958,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100086,Brussels,Brussels,1976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100087,Brussels,Brussels,1950,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100088,Flemish Brabant,Flanders,1956,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100089,Flemish Brabant,Flanders,1987,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100090,Brussels,Brussels,1970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100091,Brussels,Brussels,1966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100092,Brussels,Brussels,1971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100093,Liege,Wallonia,1988,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
100094,Brussels,Brussels,1993,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100095,Flemish Brabant,Flanders,1948,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100096,Brussels,Brussels,1971,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100097,Brussels,Brussels,1967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100098,Brussels,Brussels,1976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100099,Flemish Brabant,Flanders,1979,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100100,Brussels,Brussels,1971,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100101,Brussels,Brussels,1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100102,Brussels,Brussels,1945,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100103,Brussels,Brussels,1957,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100104,Brussels,Brussels,1950,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100105,Brussels,Brussels,1994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100106,Walloon Brabant,Wallonia,1960,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100107,Brussels,Brussels,1958,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
100108,Brussels,Brussels,1951,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100109,Brussels,Brussels,1959,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100110,Brussels,Brussels,1972,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100111,Flemish Brabant,Flanders,1960,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
100112,Brussels,Brussels,1971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100113,Brussels,Brussels,1977,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100114,East Flanders,Flanders,1958,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
100115,Brussels,Brussels,1979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100116,Brussels,Brussels,1979,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100117,Luxembourg,Wallonia,1979,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
100118,Liege,Wallonia,1973,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
100119,Brussels,Brussels,1977,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100120,Brussels,Brussels,1955,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
